trial_id,event_id,incidence_rate,grade
CT001,AE001,0.034,3
CT001,AE002,0.089,2
CT001,AE003,0.156,1
CT002,AE001,0.041,3
CT002,AE002,0.102,2
CT003,AE002,0.078,2
CT003,AE003,0.134,1
CT004,AE009,0.127,3
CT004,AE008,0.089,2
CT005,AE005,0.234,1
CT005,AE006,0.189,1
CT005,AE007,0.067,2
CT006,AE005,0.267,1
CT006,AE006,0.212,1
CT006,AE007,0.089,2
CT008,AE002,0.112,2
CT008,AE003,0.178,1
CT009,AE002,0.098,2
CT009,AE004,0.045,2
CT011,AE014,0.034,3
CT011,AE020,0.412,1
CT011,AE019,0.389,1
CT037,AE014,0.028,3
CT037,AE011,0.156,2
CT012,AE001,0.123,3
CT012,AE002,0.234,2
CT012,AE015,0.067,3
CT013,AE018,0.467,1
CT013,AE017,0.289,2
CT013,AE019,0.534,1
CT027,AE018,0.445,1
CT027,AE017,0.267,2
CT014,AE001,0.029,3
CT014,AE003,0.189,1
CT033,AE001,0.023,3
CT015,AE016,0.178,2
CT015,AE010,0.034,3
CT032,AE016,0.167,2
CT016,AE020,0.789,1
CT016,AE008,0.189,2
CT036,AE020,0.812,1
CT017,AE012,0.267,1
CT017,AE019,0.445,1
CT018,AE013,0.034,3
CT018,AE019,0.467,1
CT034,AE013,0.028,3
CT034,AE012,0.289,1
CT019,AE023,0.013,3
CT019,AE017,0.312,2
CT019,AE024,0.189,2
CT031,AE023,0.022,3
CT020,AE022,0.089,3
CT020,AE024,0.234,2
CT030,AE022,0.078,3
CT021,AE011,0.178,2
CT021,AE019,0.356,1
CT022,AE011,0.189,2
CT022,AE019,0.389,1
CT040,AE019,0.312,1
CT023,AE005,0.234,1
CT023,AE015,0.056,3
CT038,AE005,0.212,1
CT024,AE016,0.156,2
CT024,AE015,0.045,3
CT025,AE016,0.145,2
CT025,AE015,0.039,3
CT039,AE016,0.134,2
CT026,AE001,0.031,3
CT026,AE002,0.089,2
CT026,AE003,0.145,1
CT029,AE001,0.028,3
CT029,AE006,0.134,1
CT028,AE001,0.024,3
CT028,AE015,0.078,3
CT028,AE006,0.156,1
